tds,ten,twenty,thirty
180,5,20,32
242,8,35,45
233,10,35,78
154,9,14,33
214,7,15,45
359,5,16,17
156,5,36,51
203,8,29,21
185,4,14,42
265,13,55,34
150,8,14,8
118,10,36,64
31,9,23,52
85,4,24,53
22,2,18,25
187,2,15,21
26,0,13,26
256,0,33,45
125,2,27,25
202,1,16,37
34,1,14,28
91,0,9,9
60,1,17,42
198,2,21,40
92,1,2,1
165,2,0,5
311,12,35,49
345,4,29,44
52,0,0,0
160,4,23,36
54,5,9,31
243,9,26,70
271,7,24,68
189,9,26,10
32,1,31,37
157,4,31,32
325,6,28,35
16,9,21,52
235,8,18,57
86,5,30,58
113,6,29,84
286,7,20,34
138,2,6,7
46,4,17,30
346,14,8,42
264,5,33,37
56,6,5,10
65,8,19,52
166,6,7,5
164,1,2,2
58,5,20,27
206,2,0,6
80,5,3,7
134,5,29,42
176,4,23,42
334,6,18,58
307,6,54,74
308,13,44,89
335,13,53,76
148,4,17,9
336,11,46,69
11,3,8,30
123,5,30,29
236,8,35,90
94,1,8,5
239,5,8,7
238,0,7,5
216,6,5,6
232,0,2,13
69,1,13,23
199,9,24,25
312,5,24,58
70,3,27,21
190,8,44,50
155,9,13,13
82,6,16,15
582,6,15,12
111,6,14,26
41,4,30,27
224,6,33,88
237,17,26,64
304,10,34,63
338,6,21,66
208,1,48,59
263,7,21,22
9,4,19,31
57,2,9,16
15,5,29,36
29,4,9,19
205,5,17,46
209,0,1,4
212,1,4,9
273,0,2,4
213,1,2,6
226,1,2,5
283,7,14,35
260,0,1,6
274,0,3,4
275,0,2,4
284,1,1,4
207,7,26,38
1,6,40,59
59,8,32,76
197,2,21,8
72,6,21,31
309,5,11,26
136,6,24,42
252,4,27,54
225,3,14,16
171,14,21,40
44,5,4,10
100,5,33,42
25,3,17,40
281,7,17,33
87,8,8,28
68,0,6,8
40,6,20,37
339,4,45,47
142,4,5,8
75,0,1,1
262,6,18,27
3,3,15,50
147,1,15,47
347,6,46,61
547,8,51,59
184,13,48,71
78,7,26,76
215,10,19,54
159,6,16,23
95,2,12,28
365,9,22,69
168,10,15,30
367,12,28,40
109,3,23,63
14,3,12,46
316,0,12,2
139,6,16,24
120,8,37,55
276,9,24,36
64,10,31,18
17,9,40,24
30,9,24,42
10,2,22,58
161,1,19,50
76,8,30,43
152,8,32,45
122,12,26,55
186,2,30,11
201,7,20,17
101,5,31,30
348,15,26,33
50,11,17,33
20,5,11,39
362,10,38,51
169,9,21,29
326,20,50,64
337,7,22,44
364,7,16,35
292,9,20,39
81,6,11,27
296,2,16,29
297,3,17,26
49,9,16,26
21,3,34,58
77,0,3,3
47,6,13,28
83,4,15,27
344,7,20,34
103,6,37,80
28,10,32,52
183,11,39,60
181,3,24,29
191,1,6,7
84,10,14,18
132,5,16,24
145,5,24,42
88,3,9,32
240,7,25,41
129,5,41,56
102,8,30,73
502,6,18,82
277,6,24,29
130,3,35,68
267,8,41,61
121,11,36,23
314,2,3,4
43,2,9,13
172,1,8,4
51,1,3,2
313,3,26,52
162,9,16,53
204,3,21,37
351,8,23,40
24,10,34,38
39,0,21,17
194,5,14,22
89,1,14,28
149,2,24,42
53,2,4,4
340,1,18,23
505,0,1,6
5,0,2,6
352,8,34,48
245,0,3,5
71,3,5,7
37,1,21,48
48,11,9,34
4,4,6,8
79,1,4,7
55,0,3,12
143,5,7,1
515,5,13,11
516,10,17,38
517,4,19,12
167,8,20,46
93,6,50,64
38,7,25,22
170,5,5,6
117,1,4,7
18,4,10,30
19,4,14,42
218,6,17,23
241,2,12,38
135,8,35,56
177,5,36,65
99,12,41,44
282,10,25,48
280,5,6,25
377,5,12,33
389,4,16,27
398,3,16,25
399,3,14,25
158,8,29,43
45,9,23,88
192,14,44,44
36,3,14,12
279,1,0,36
27,6,38,47
67,0,18,31
35,0,7,3
305,8,48,77
8,2,5,16
66,2,5,20
559,8,33,50
114,6,4,4
353,5,35,68
366,7,27,41
368,7,29,42
153,10,22,54
221,8,30,56
333,4,26,60
73,9,35,58
369,10,36,47
97,12,24,40
354,14,33,42
234,1,25,30
223,9,40,85
268,8,14,13
63,0,4,4
193,0,5,4
96,4,27,44
42,1,1,1
131,6,26,60
287,6,30,44
266,2,24,46
342,5,47,63
356,9,48,55
261,9,19,37
341,6,28,63
343,5,23,44
355,5,24,44
61,2,19,29
146,3,20,40
315,0,7,8
6,2,15,51
7,3,10,45
74,4,18,26
23,6,12,47
62,9,23,30
293,10,21,42
523,10,19,37
329,7,20,22
330,14,18,42
331,13,18,41
141,6,49,74
116,0,4,2
175,3,3,6
360,9,32,59
526,6,35,55
246,5,18,41
124,11,19,33
514,5,15,43
2,11,20,33
112,4,17,29
127,8,12,16
33,2,9,27
182,3,22,39
178,6,16,13
151,7,17,11
173,7,15,12
174,8,12,19
163,3,27,34