borough,developmen,tds_num,Latitude,Longitude,NYCHA-data_CONSOLIDATED TDS#,NYCHA-data_NUMBER OF CURRENT APARTMENTS,NYCHA-data_TOTAL NUMBER OF APARTMENTS,NYCHA-data_NUMBER OF RENTAL ROOMS,NYCHA-data_AVG NO R/R PER APARTMENT,NYCHA-data_POPULATION PUBLIC HOUSING,NYCHA_data_TOTALPOPULATION,NYCHA-data_TOTAL # OF FIXED INCOME HOUSEHOLD,NYCHA-data_PERCENT FIXED INCOME HOUSEHOLDS,NYCHA-data_NUMBER OF RESIDENTIAL BLDGS,NYCHA-data_NUMBER OF NON-RESIDENTIAL BLDGS,NYCHA-data_PER RENTAL ROOM,NYCHA-data_AVG MONTHLY GROSS RENT,under_ten,ten_twenty,twenty_thirty,avg_travel_time,count_score,time_score,time_score_2
BRONX,1162-1176 WASHINGTON AVENUE,233,40.829969,-73.907259,308,65,66,293.5,4.52,170,170,21,0.328,1,0,"$7,302.00",$440.00,10,35,78,21,0.952209647727185,0.401293674317076,0.6352217863499180
BROOKLYN,TAYLOR STREET-WYTHE AVENUE,234,40.704255,-73.964911,234,525,525,"2,465.5",4.7,"1,226","1,226",227,0.438,5,1,"$8,118.00",$477.00,1,25,30,19,0.0912112197258679,0.598706325682924,0.4059581654515920
BRONX,BRYANT AVENUE-EAST 174TH STREET,235,40.835934,-73.885743,530,72,72,284.0,3.94,135,135,33,0.465,1,0,"$7,315.00",$519.00,8,18,57,21,0.841344746068543,0.401293674317076,0.43126927513145000
BRONX,COLLEGE AVENUE-EAST 165TH STREET,236,40.829265,-73.915108,308,95,95,307.5,3.24,102,102,84,0.894,1,0,"$7,869.00",$288.00,8,35,90,20,0.841344746068543,0.5,0.7198239075457190
BRONX,EAST 152ND STREET-COURTLANDT AVENUE,237,40.818535,-73.917748,28,221,221,913.5,4.13,382,382,144,0.652,2,0,"$8,330.00",$423.00,17,26,64,19,0.999968328758167,0.598706325682924,0.5939662839908340
BROOKLYN,CONEY ISLAND I (SITE 8),238,40.573536,-74.000924,172,124,125,626.0,5.05,361,361,37,0.306,1,0,"$9,255.00",$559.00,0,7,5,18,0.0477903522728147,0.691462461274013,0.08762251305575870
BROOKLYN,CONEY ISLAND I (SITE 1B),239,40.57543,-73.987267,166,192,193,952.0,4.96,512,512,73,0.382,1,0,"$7,829.00",$552.00,5,8,7,17,0.5,0.773372647623132,0.16429840976231200
BROOKLYN,"UNITY PLAZA (SITES 17,24,25A)",240,40.66824,-73.896779,261,167,167,768.5,4.6,471,471,41,0.247,3,0,"$6,699.00",$583.00,7,25,41,20,0.747507462453077,0.5,0.47710591346847700
MANHATTAN,ROBINSON,241,40.806871,-73.936424,241,188,189,834.0,4.44,421,421,70,0.376,1,0,"$7,068.00",$565.00,2,12,38,22,0.158655253931457,0.308537538725987,0.2436051053706910
BROOKLYN,104-14 TAPSCOTT STREET,242,40.665087,-73.9206,167,30,30,131.0,4.37,65,65,5,0.172,1,0,"$6,505.00",$643.00,8,35,45,19,0.841344746068543,0.598706325682924,0.571243634201234
BROOKLYN,BORINQUEN PLAZA I,243,40.704531,-73.942667,243,509,509,"2,359.5",4.64,"1,123","1,123",270,0.539,8,2,"$6,556.00",$539.00,9,26,70,21,0.908788780274132,0.401293674317076,0.5917993623604850
BRONX,RANDALL AVENUE-BALCOM AVENUE,245,40.822076,-73.828127,63,251,252,823.5,3.28,276,276,217,0.886,3,0,"$10,757.00",$354.00,0,3,5,21,0.0477903522728147,0.401293674317076,0.03679328811219920
BRONX,WEST TREMONT AVENUE-SEDGWICK AVENUE AREA,246,40.852468,-73.918218,45,148,148,485.0,3.28,159,159,130,0.897,1,0,"$8,734.00",$272.00,5,18,41,21,0.5,0.401293674317076,0.31533376459256800
BROOKLYN,GARVEY (GROUP A),252,40.669919,-73.915222,252,320,321,"1,525.0",4.77,863,863,124,0.394,3,1,"$8,168.00",$563.00,4,27,54,21,0.369441340181764,0.401293674317076,0.4731871726724100
BROOKLYN,ATLANTIC TERMINAL SITE 4B,256,40.682932,-73.970162,163,299,300,"1,237.5",4.14,582,582,121,0.41,1,0,"$8,489.00",$562.00,0,33,45,21,0.0477903522728147,0.401293674317076,0.43731411471725000
,FHA REPOSSESSED HOUSES (GROUP V),260,40.692953,-73.773905,91,29,36,153.5,5.29,,65,,,31,,$7.17,$833.00,0,1,6,24,0.0477903522728147,0.158655253931457,0.010159006305389300
BROOKLYN,UNITY PLAZA (SITES 4-27),261,40.666711,-73.897595,261,460,462,"2,141.0",4.65,"1,133","1,133",130,0.288,5,0,"$7,813.00",$557.00,9,19,37,19,0.908788780274132,0.598706325682924,0.44316301437975100
MANHATTAN,HARBORVIEW TERRACE,262,40.76851,-73.990824,22,377,377,"1,493.5",3.96,648,648,241,0.65,2,0,"$10,911.00",$522.00,6,18,27,19,0.630558659818236,0.598706325682924,0.3009567141198460
BROOKLYN,EAST NEW YORK CITY LINE,263,40.668417,-73.873664,70,66,66,409.0,6.2,258,258,19,0.292,33,0,"$6,784.00",$633.00,7,21,22,18,0.747507462453077,0.691462461274013,0.37407372907153500
MANHATTAN,BRACETTI PLAZA,264,40.722225,-73.981022,337,108,108,538.0,4.98,257,257,47,0.439,1,0,"$8,008.00",$596.00,5,33,37,20,0.5,0.5,0.43202709202494200
MANHATTAN,45 ALLEN STREET,265,40.716719,-73.992267,100,107,107,537.5,5.02,237,237,46,0.442,1,1,"$7,981.00",$687.00,13,55,34,17,0.99616961943241,0.773372647623132,0.9118267008236050
MANHATTAN,TWO BRIDGES URA (SITE 7),266,40.710882,-73.986213,76,250,250,"1,251.0",5,622,622,107,0.428,1,0,"$8,414.00",$650.00,2,24,46,21,0.158655253931457,0.401293674317076,0.4016787076619580
BRONX,MORRISANIA AIR RIGHTS,267,40.824132,-73.91772,267,841,843,"3,788.5",4.5,"1,681","1,681",428,0.521,3,0,"$10,584.00",$473.00,8,41,61,20,0.841344746068543,0.5,0.6124667105692970
MANHATTAN,THOMAS APARTMENTS,268,40.789705,-73.970438,127,87,87,304.5,3.5,96,96,75,0.872,1,0,"$36,744.00",$375.00,8,14,13,17,0.841344746068543,0.773372647623132,0.18601952790566700
BROOKLYN,BORINQUEN PLAZA II,271,40.705419,-73.940337,243,425,425,"2,265.5",5.33,"1,123","1,123",149,0.351,7,0,"$7,244.00",$612.00,7,24,68,21,0.747507462453077,0.401293674317076,0.573993824264537
,FHA REPOSSESSED HOUSES (GROUP VI),273,40.691943,-73.766008,91,6,9,32.0,5.33,,11,,,7,,$7.32,$750.00,0,2,4,22,0.0477903522728147,0.308537538725987,0.017732909320158900
,FHA REPOSSESSED HOUSES (GROUP VII),274,40.685193,-73.76648,91,5,8,29.5,5.9,,9,,,8,,$8.26,$929.00,0,3,4,23,0.0477903522728147,0.226627352376868,0.012273767748650200
,FHA REPOSSESSED HOUSES (GROUP VIII),275,40.692459,-73.765172,91,5,9,29.5,5.9,,16,,,9,,$8.57,"$1,249.00",0,2,4,22,0.0477903522728147,0.308537538725987,0.018790943456059300
BROOKLYN,LONG ISLAND BAPTIST HOUSES,276,40.667455,-73.897301,261,229,232,"1,039.5",4.54,526,526,63,0.283,4,0,"$11,010.00",$540.00,9,24,36,19,0.908788780274132,0.598706325682924,0.4804934332155960
MANHATTAN,MORRIS PARK SENIOR CITIZENS HOME,277,40.805498,-73.941592,241,97,97,296.5,3.06,103,103,83,0.865,1,0,"$6,337.00",$302.00,6,24,29,19,0.630558659818236,0.598706325682924,0.36505277581726300
QUEENS,SHELTON HOUSE,279,40.706511,-73.798668,91,153,155,475.5,3.11,164,164,138,0.92,1,0,"$7,061.00",$325.00,1,0,36,24,0.0912112197258679,0.158655253931457,0.12022601460224300
BRONX,SACK WERN,280,40.81978,-73.866388,280,411,413,"1,891.5",4.6,864,864,166,0.409,7,1,"$4,528.00",$573.00,5,6,25,22,0.5,0.308537538725987,0.1316666434206780
MANHATTAN,GRAMPION,281,40.806043,-73.952424,30,35,35,155.5,4.44,67,67,8,0.242,1,0,"$5,094.00",$522.00,7,17,33,20,0.747507462453077,0.5,0.26923903370195100
BROOKLYN,RUTLAND TOWERS,282,40.66187,-73.92817,167,60,61,218.0,3.63,100,100,29,0.492,1,0,"$6,727.00",$502.00,10,25,48,19,0.952209647727185,0.598706325682924,0.5409533068182020
,FHA REPOSSESSED HOUSES (GROUP IX),283,40.67814,-73.895093,91,16,40,79.0,4.94,,31,,,16,,$0.00,"$1,076.00",7,14,35,20,0.747507462453077,0.5,0.3483853274415880
,FHA REPOSSESSED HOUSES (GROUP X),284,40.677651,-73.766413,91,16,21,87.0,5.44,,37,,,20,,$6.56,$713.00,1,1,4,19,0.0912112197258679,0.598706325682924,0.028107710644926000
MANHATTAN,CAMPOS PLAZA II,286,40.728545,-73.977207,337,224,224,"1,088.0",4.86,508,508,105,0.469,2,0,"$16,193.00",$627.00,7,20,34,20,0.747507462453077,0.5,0.3475307815911870
BRONX,TWIN PARKS EAST (SITE 9),287,40.846991,-73.887592,180,219,219,689.5,3.15,231,231,189,0.875,1,0,"$16,520.00",$296.00,6,30,44,20,0.630558659818236,0.5,0.5572516991630060
MANHATTAN,LOWER EAST SIDE REHAB (GROUP 5),292,40.723869,-73.979416,337,55,55,229.5,4.17,119,119,17,0.309,2,0,"$18,795.00",$643.00,9,20,39,19,0.908788780274132,0.598706325682924,0.41251645021498100
MANHATTAN,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),293,40.845641,-73.933531,309,215,216,915.5,4.26,406,406,103,0.488,5,0,"$24,631.00",$484.00,10,21,42,19,0.952209647727185,0.598706325682924,0.5081891114591890
MANHATTAN,MANHATTANVILLE REHAB (GROUP 2),296,40.81877,-73.953384,81,46,46,187.0,4.07,87,87,21,0.457,3,0,"$32,096.00",$599.00,2,16,29,21,0.158655253931457,0.401293674317076,0.18230287517747400
MANHATTAN,MANHATTANVILLE REHAB (GROUP 3),297,40.818387,-73.954239,81,51,51,220.5,4.32,115,115,17,0.333,2,0,"$16,603.00",$453.00,3,17,26,21,0.252492537546923,0.401293674317076,0.18986273752321000
BRONX,EAST 165TH STREET-BRYANT AVENUE,304,40.824972,-73.888875,530,111,111,588.5,5.3,362,362,21,0.191,5,0,"$13,874.00",$729.00,10,34,63,20,0.952209647727185,0.5,0.6744898086841220
BRONX,SOUTH BRONX AREA (SITE 402),305,40.82115,-73.908308,342,112,114,592.0,5.29,383,383,18,0.162,4,0,"$14,764.00",$636.00,8,48,77,21,0.841344746068543,0.401293674317076,0.6893229030337170
BRONX,CLAREMONT REHAB (GROUP 2),307,40.831732,-73.911037,308,106,107,455.0,4.29,251,251,35,0.337,6,0,"$24,822.00",$457.00,6,54,74,20,0.630558659818236,0.5,0.776287315443973
BRONX,CLAREMONT REHAB (GROUP 3),308,40.829656,-73.913161,308,107,115,470.5,4.4,263,263,27,0.252,5,0,"$14,061.00",$495.00,13,44,89,20,0.99616961943241,0.5,0.8235330381590460
MANHATTAN,FORT WASHINGTON AVENUE REHAB,309,40.839258,-73.944614,309,226,226,814.0,3.6,277,277,204,0.903,1,0,"$19,862.00",$327.00,5,11,26,20,0.5,0.5,0.2570124015161110
BROOKLYN,BEDFORD-STUYVESANT REHAB,311,40.6947,-73.942094,73,84,85,381.0,4.54,180,180,29,0.349,3,0,"$13,316.00",$579.00,12,35,49,19,0.990184671371355,0.598706325682924,0.6468016429036630
BROOKLYN,CROWN HEIGHTS,312,40.672159,-73.923442,351,121,121,527.5,4.36,241,241,33,0.275,8,0,"$15,118.00",$625.00,5,24,58,21,0.5,0.401293674317076,0.4549143563417760
BROOKLYN,OCEAN HILL-BROWNSVILLE,313,40.676116,-73.919633,351,125,125,540.5,4.32,304,304,16,0.131,5,0,"$14,942.00",$599.00,3,26,52,22,0.252492537546923,0.308537538725987,0.4270060194538410
STATEN ISLAND,NEW LANE AREA,314,40.613028,-74.061544,35,276,277,996.0,3.61,348,348,244,0.891,1,0,"$18,493.00",$327.00,2,3,4,17,0.158655253931457,0.773372647623132,0.07579839643859060
BROOKLYN,VANDALIA AVENUE,315,40.650132,-73.887085,194,288,293,"1,036.0",3.6,333,333,262,0.91,2,1,"$19,480.00",$376.00,0,7,8,20,0.0477903522728147,0.5,0.07320752956100350
QUEENS,INTERNATIONAL TOWER,316,40.70812,-73.790663,91,146,159,520.0,3.56,179,179,131,0.903,1,0,"$19,269.00",$383.00,0,12,2,18,0.0477903522728147,0.691462461274013,0.10409252293402900
BROOKLYN,BROWN,325,40.672802,-73.913145,252,200,200,700.0,3.5,220,220,179,0.904,2,0,"$19,179.00",$368.00,6,28,35,20,0.630558659818236,0.5,0.4398110672117450
MANHATTAN,LOWER EAST SIDE I INFILL,326,40.721313,-73.990438,100,189,189,777.5,4.11,361,361,105,0.568,5,0,"$18,482.00",$512.00,20,50,64,18,0.999999713348428,0.691462461274013,1.0
MANHATTAN,WASHINGTON HEIGHTS REHAB PHASE III (HARLEM RIVER),329,40.833233,-73.944264,3,14,14,63.0,4.5,30,30,5,0.357,1,0,"$15,821.00",$513.00,7,20,22,18,0.747507462453077,0.691462461274013,0.32010170970716200
MANHATTAN,WASHINGTON HEIGHTS REHAB PHASE IV (C),330,40.845278,-73.933764,309,32,32,129.0,4.03,67,67,16,0.516,2,0,"$23,660.00",$478.00,14,18,42,19,0.99865010196837,0.598706325682924,0.5114121906517730
MANHATTAN,WASHINGTON HEIGHTS REHAB PHASE IV (D),331,40.845092,-73.934264,309,32,32,132.0,4.13,60,60,15,0.469,2,0,"$22,783.00",$508.00,13,18,41,19,0.99616961943241,0.598706325682924,0.4954087825339740
BROOKLYN,STUYVESANT GARDENS II,333,40.688289,-73.930688,221,150,150,525.0,3.5,166,166,135,0.912,1,0,"$19,032.00",$396.00,4,26,60,21,0.369441340181764,0.401293674317076,0.45380499260518400
BRONX,CLAREMONT PARKWAY-FRANKLIN AVENUE,334,40.835821,-73.901239,342,187,188,729.5,3.9,279,279,130,0.707,3,0,"$17,252.00",$403.00,6,18,58,21,0.630558659818236,0.401293674317076,0.41037737845480200
BRONX,CLAREMONT REHAB (GROUP 4),335,40.830902,-73.912369,308,147,150,647.5,4.4,342,342,50,0.34,9,0,"$15,605.00",$464.00,13,53,76,20,0.99616961943241,0.5,0.8270731612620770
BRONX,CLAREMONT REHAB (GROUP 5),336,40.831086,-73.913799,308,129,135,560.5,4.34,304,304,40,0.31,3,0,"$14,555.00",$506.00,11,46,69,20,0.977249868051821,0.5,0.7013638288677610
MANHATTAN,LOWER EAST SIDE II,337,40.722967,-73.979331,337,188,188,848.0,4.51,433,433,74,0.4,4,1,"$17,346.00",$554.00,7,22,44,20,0.747507462453077,0.5,0.4159201045509520
BRONX,EAST 173RD STREET-VYSE AVENUE,338,40.833951,-73.888347,530,168,168,758.0,4.51,403,403,52,0.313,7,0,"$16,684.00",$562.00,6,21,66,21,0.630558659818236,0.401293674317076,0.5038914755130220
BROOKLYN,HOWARD AVENUE,339,40.667478,-73.919901,351,148,150,669.0,4.52,373,373,39,0.265,5,1,"$15,641.00",$663.00,4,45,47,19,0.369441340181764,0.598706325682924,0.6293713100211610
MANHATTAN,PUBLIC SCHOOL 139 (CONVERSION),340,40.817474,-73.939993,111,125,125,423.5,3.39,140,140,100,0.813,1,0,"$18,348.00",$393.00,1,18,23,20,0.0912112197258679,0.5,0.17535067553419800
BRONX,UNIVERSITY AVENUE REHAB,341,40.8529,-73.913511,341,230,230,"1,034.0",4.5,519,519,93,0.404,4,0,"$15,377.00",$529.00,6,28,63,21,0.630558659818236,0.401293674317076,0.4921851373768170
BRONX,UNION AVENUE-EAST 163RD STREET,342,40.823261,-73.901249,342,199,200,696.5,3.5,229,229,172,0.882,1,0,"$18,107.00",$325.00,5,47,63,20,0.5,0.5,0.6800231361930830
MANHATTAN,UPACA (SITE 5),343,40.801759,-73.940133,241,179,200,626.5,3.5,204,204,147,0.84,1,0,"$19,099.00",$312.00,5,23,44,20,0.5,0.5,0.4244614610614240
MANHATTAN,MARSHALL PLAZA,344,40.833303,-73.94211,3,180,180,630.0,3.5,207,207,154,0.89,1,0,"$19,419.00",$307.00,7,20,34,19,0.747507462453077,0.598706325682924,0.3695072960361490
BROOKLYN,BELMONT-SUTTER AREA,345,40.671291,-73.886687,46,72,72,336.0,4.67,189,189,21,0.292,3,0,"$15,993.00",$577.00,4,29,44,20,0.369441340181764,0.5,0.48773596342682100
BRONX,BOYNTON AVENUE REHAB,346,40.825652,-73.87754,32,82,82,367.0,4.48,182,182,29,0.358,3,0,"$13,396.00",$476.00,14,8,42,20,0.99865010196837,0.5,0.3587880716243890
BRONX,HARRISON AVENUE REHAB (GROUP A),347,40.85351,-73.910368,341,34,34,146.0,4.29,75,75,11,0.324,1,0,"$16,225.00",$486.00,6,46,61,19,0.630558659818236,0.598706325682924,0.6793245414312130
BROOKLYN,LENOX ROAD-ROCKAWAY PARKWAY,348,40.65942,-73.918182,167,74,74,327.0,4.42,166,166,18,0.243,3,0,"$14,281.00",$627.00,15,26,33,17,0.999570939666803,0.773372647623132,0.5514297032231170
BROOKLYN,PARK ROCK REHAB,351,40.671674,-73.928472,351,134,134,582.0,4.34,319,319,31,0.235,9,0,"$18,041.00",$679.00,8,23,40,20,0.841344746068543,0.5,0.42427035918484200
BROOKLYN,RALPH AVENUE REHAB,352,40.666224,-73.923023,167,118,118,529.0,4.48,284,284,26,0.22,5,0,"$12,693.00",$574.00,8,34,48,20,0.841344746068543,0.5,0.5381333028557850
BRONX,STEBBINS AVENUE-HEWITT PLACE,353,40.819429,-73.899373,342,119,120,535.5,4.5,274,274,37,0.311,2,0,"$16,391.00",$648.00,5,35,68,20,0.5,0.5,0.6581450322495760
BROOKLYN,TAPSCOTT STREET REHAB,354,40.663468,-73.919661,167,155,155,687.5,4.44,349,349,39,0.255,8,0,"$14,721.00",$532.00,14,33,42,18,0.99865010196837,0.691462461274013,0.6323399540330660
MANHATTAN,UPACA (SITE 6),355,40.801145,-73.94047,241,150,150,525.0,3.5,173,173,132,0.904,1,0,"$19,506.00",$313.00,5,24,44,20,0.5,0.5,0.4388007379372580
BRONX,UNION AVENUE-EAST 166TH STREET,356,40.826482,-73.89957,342,120,120,539.0,4.49,280,280,38,0.322,6,0,"$17,142.00",$556.00,9,48,55,19,0.908788780274132,0.598706325682924,0.750273182344929
MANHATTAN,154 WEST 84TH STREET,359,40.785853,-73.975341,359,35,35,157.5,4.5,74,74,7,0.2,1,0,"$28,412.00",$644.00,5,16,17,18,0.5,0.691462461274013,0.19300462330948100
BRONX,WEST FARMS ROAD REHAB,360,40.827903,-73.88856,530,208,208,883.0,4.25,437,437,68,0.33,4,0,"$16,399.00",$570.00,9,32,59,20,0.908788780274132,0.5,0.6311467823387430
BRONX,LONGFELLOW AVENUE REHAB,362,40.826321,-73.887773,530,75,75,412.5,5.5,278,278,7,0.095,2,0,"$17,077.00",$666.00,10,38,51,19,0.952209647727185,0.598706325682924,0.7089403688338160
MANHATTAN,LOWER EAST SIDE III,364,40.724438,-73.976849,359,56,56,280.0,5,173,173,15,0.268,2,1,"$26,158.00",$705.00,7,16,35,20,0.747507462453077,0.5,0.3128099996432460
BROOKLYN,HOWARD AVENUE-PARK PLACE,365,40.670549,-73.920375,351,155,156,776.5,5.01,449,449,28,0.182,8,0,"$20,286.00",$700.00,9,22,69,21,0.908788780274132,0.401293674317076,0.5715521908640490
BROOKLYN,STERLING PLACE REHABS (SAINT JOHNS-STERLING),366,40.670952,-73.928378,351,83,83,440.5,5.31,275,275,12,0.146,5,0,"$20,640.00",$709.00,7,27,41,20,0.747507462453077,0.5,0.4699473908413370
BRONX,HUNTS POINT AVENUE REHAB,367,40.817966,-73.889037,530,131,131,605.5,4.62,314,314,35,0.273,13,0,"$21,933.00",$568.00,12,28,40,20,0.990184671371355,0.5,0.5208313937060030
BROOKLYN,STERLING PLACE REHABS (STERLING-BUFFALO),368,40.67109,-73.926977,351,125,125,593.5,4.75,329,329,25,0.202,7,0,"$20,616.00",$614.00,7,29,42,20,0.747507462453077,0.5,0.46056103614902200
BROOKLYN,SUTTER AVENUE-UNION STREET,369,40.666031,-73.921365,167,100,100,467.0,4.67,254,254,19,0.192,3,0,"$20,064.00",$678.00,10,36,47,19,0.952209647727185,0.598706325682924,0.6124782415173120
MANHATTAN,SAMUEL (CITY),377,40.819993,-73.938665,377,664,664,"2,824.0",4.25,"1,171","1,412",173,0.265,40,2,,$660.00,5,12,33,21,0.5,0.401293674317076,0.1766686884461100
MANHATTAN,SAMUEL (MHOP) I,389,40.818053,-73.940988,359,24,53,108.0,4.5,38,38,10,0.417,5,0,"$19,661.00",$800.00,4,16,27,20,0.369441340181764,0.5,0.1932918893484170
MANHATTAN,SAMUEL (MHOP) II,398,40.816849,-73.940067,359,4,10,20.0,5,12,12,0,0,1,0,"$20,160.00","$1,036.00",3,16,25,20,0.252492537546923,0.5,0.1891565145429040
MANHATTAN,SAMUEL (MHOP) III,399,40.819558,-73.939507,359,1,10,4.5,4.5,3,3,0,0,1,0,"$20,159.00","$1,431.00",3,14,25,19,0.252492537546923,0.598706325682924,0.17855363999698300
BRONX,MORRIS II,502,40.836636,-73.903741,102,802,802,"3,765.0",4.69,"1,989","1,989",268,0.338,7,0,"$4,008.00",$507.00,6,18,82,23,0.630558659818236,0.226627352376868,0.3979163807620810
QUEENS,QUEENSBRIDGE NORTH,505,40.755885,-73.944253,505,"1,542","1,543","6,337.0",4.11,"3,129","3,129",582,0.382,13,1,"$1,010.00",$556.00,0,1,6,23,0.0477903522728147,0.226627352376868,0.02066725110000410
BROOKLYN,WHITMAN,514,40.694529,-73.975054,514,"1,651","1,659","7,833.5",4.74,"3,866","3,866",554,0.342,15,3,"$1,655.00",$556.00,5,15,43,22,0.5,0.308537538725987,0.31066855876597300
MANHATTAN,REHAB PROGRAM (DOUGLASS REHABS),515,40.79931,-73.969269,359,112,112,413.0,3.69,182,182,43,0.384,4,0,,$543.00,5,13,11,17,0.5,0.773372647623132,0.15932935344422800
MANHATTAN,REHAB PROGRAM (TAFT REHABS),516,40.803231,-73.952147,359,156,156,602.0,3.86,290,290,44,0.284,4,0,,$540.00,10,17,38,20,0.952209647727185,0.5,0.32811234754853900
MANHATTAN,REHAB PROGRAM (WISE REHAB),517,40.790867,-73.96743,127,40,40,159.0,3.98,67,67,18,0.45,1,0,,$628.00,4,19,12,18,0.369441340181764,0.691462461274013,0.16182620672155500
MANHATTAN,WASHINGTON HEIGHTS REHAB PHASE III (FORT WASHINGTON),523,40.837139,-73.938211,309,88,88,391.0,4.44,174,174,31,0.36,7,0,"$15,823.00",$536.00,10,19,37,19,0.952209647727185,0.598706325682924,0.4161788918434440
BRONX,WEST FARMS SQUARE CONVENTIONAL,526,40.827508,-73.888252,530,20,20,85.0,4.25,50,50,2,0.1,1,0,"$18,339.00",$576.00,6,35,55,20,0.630558659818236,0.5,0.6277501847417650
BRONX,HARRISON AVENUE REHAB (GROUP B),547,40.853358,-73.910842,341,150,150,664.0,4.43,326,326,60,0.403,4,0,"$15,150.00",$517.00,8,51,59,19,0.841344746068543,0.598706325682924,0.7183256611521560
MANHATTAN,STANTON STREET,559,40.71974,-73.983575,359,13,13,66.5,5.12,35,35,2,0.154,1,0,"$68,595.00",$468.00,8,33,50,19,0.841344746068543,0.598706325682924,0.5988169168587730
MANHATTAN,DOUGLASS II,582,40.797128,-73.966117,82,752,753,"3,463.0",4.61,"1,589","1,589",307,0.41,6,0,"$4,277.00",$589.00,6,15,12,18,0.630558659818236,0.691462461274013,0.16490946534658200